index;indeks;Price [PLN/MWh];Volume [MWh]
03.05.2016 00:00;TGeBase;132,53;78204,5
04.05.2016 00:00;TGeBase;161,45;75589,4
05.05.2016 00:00;TGeBase;173,29;72256,2
06.05.2016 00:00;TGeBase;168,76;79532,3
07.05.2016 00:00;TGeBase;138,73;85665
08.05.2016 00:00;TGeBase;125,62;74501,3
09.05.2016 00:00;TGeBase;159,94;71705
10.05.2016 00:00;TGeBase;162,93;72781,7
11.05.2016 00:00;TGeBase;173,71;80410,8
12.05.2016 00:00;TGeBase;162,12;70175,3
13.05.2016 00:00;TGeBase;169,18;73657,5
14.05.2016 00:00;TGeBase;139,08;75177,8
15.05.2016 00:00;TGeBase;113,49;78736
16.05.2016 00:00;TGeBase;134,16;69684,3
17.05.2016 00:00;TGeBase;150,12;63949,7
18.05.2016 00:00;TGeBase;176,1;85049,6
19.05.2016 00:00;TGeBase;175,22;92667,5
20.05.2016 00:00;TGeBase;173,08;81869,9
21.05.2016 00:00;TGeBase;147,85;74643,3
22.05.2016 00:00;TGeBase;128,16;71344,3
23.05.2016 00:00;TGeBase;158,34;69927,6
24.05.2016 00:00;TGeBase;169,66;74564
25.05.2016 00:00;TGeBase;179,51;77071,4
26.05.2016 00:00;TGeBase;131,04;62399,3
27.05.2016 00:00;TGeBase;173,66;71690
28.05.2016 00:00;TGeBase;178,8;79347,1
29.05.2016 00:00;TGeBase;134,58;75467,9
30.05.2016 00:00;TGeBase;162,83;82227,4
31.05.2016 00:00;TGeBase;201,24;73626,2
01.06.2016 00:00;TGeBase;185,48;68613,8
02.06.2016 00:00;TGeBase;175,35;76570,8
03.06.2016 00:00;TGeBase;170,78;79763,1
04.06.2016 00:00;TGeBase;184,99;74030,1
05.06.2016 00:00;TGeBase;141,35;71373,3
06.06.2016 00:00;TGeBase;168,36;77698,3
07.06.2016 00:00;TGeBase;214,02;80168,2
08.06.2016 00:00;TGeBase;174,16;81966,6
09.06.2016 00:00;TGeBase;198,15;82682,5
10.06.2016 00:00;TGeBase;160,18;63184,8
11.06.2016 00:00;TGeBase;169,84;81405,3
12.06.2016 00:00;TGeBase;142,22;63423,8
13.06.2016 00:00;TGeBase;167,58;76667,5
14.06.2016 00:00;TGeBase;188,07;75081,1
15.06.2016 00:00;TGeBase;237,41;68673,8
16.06.2016 00:00;TGeBase;188,95;81574,7
